기준_년_코드,기준_분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,상권_변화_지표,상권_변화_지표_명,운영_영업_개월_평균,폐업_영업_개월_평균,당월_매출_금액,당월_매출_건수,점포수,당월_매출금액/점포수,당월_매출건수/점포수,총_유동인구_수,총_직장_인구_수,총 상주인구 수,아파트_단지_수,아파트_평균_면적,아파트_평균_시가,시군구_코드
2020,2,A,골목상권,1000525,목동중앙로3길,LL,다이나믹,102,45,1472049929.0,97187,49,30041835.285714287,1983.408163265306,597576,157,2353,61,58,158390577,11470
2020,2,A,골목상권,1000524,목동중앙로13나길,HH,정체,118,56,328650128.0,11191,11,29877284.363636363,1017.3636363636364,181811,346,1117,42,42,147144730,11470
2020,2,A,골목상권,1000523,목동중앙남로3가길,LL,다이나믹,106,47,4736458259.0,197379,123,38507790.72357724,1604.7073170731708,743712,190,2747,55,52,168518126,11470
2020,2,A,골목상권,1000522,목동로9길,LL,다이나믹,99,48,9108165212.0,509710,182,50044863.8021978,2800.6043956043954,1141272,768,3362,92,54,146381325,11470
2020,2,A,골목상권,1000521,목동로19길,LL,다이나믹,101,46,5472218150.0,335368,182,30067132.692307692,1842.6813186813188,783645,351,2283,42,59,165336996,11470
2020,2,A,골목상권,1000520,목동동로8길,LL,다이나믹,100,51,8528955043.0,321519,145,58820379.60689655,2217.3724137931035,344488,184,930,15,51,215065411,11470
2020,2,A,골목상권,1000519,목동동로12길,LL,다이나믹,98,49,14908774604.0,439398,245,60852141.240816325,1793.461224489796,789424,335,2214,23,56,243414282,11470
2020,2,A,골목상권,1000518,목동남로4길,LL,다이나믹,96,53,6068527329.0,384093,128,47410369.7578125,3000.7265625,393301,797,1633,11,77,216065222,11470
2020,2,A,골목상권,1000517,남부순환로88길,LH,상권확장,82,55,6304766983.0,371469,68,92717161.51470588,5462.779411764706,236046,328,1832,2,81,321024358,11470
2020,2,A,골목상권,1000516,남부순환로79길,LH,상권확장,109,66,3494114546.0,184058,49,71308460.12244898,3756.285714285714,454257,142,681,7,76,170182599,11470
2020,2,A,골목상권,1000515,남부순환로70길,HL,상권축소,112,53,5646990555.0,375787,119,47453702.14285714,3157.873949579832,625284,165,4586,241,41,75317384,11470
2020,2,A,골목상권,1000514,남부순환로58길,LL,다이나믹,99,52,1186608183.0,137106,40,29665204.575,3427.65,276507,282,2036,50,45,97742289,11470
2020,2,A,골목상권,1000513,남부순환로40길,HL,상권축소,128,50,4051120185.0,270758,129,31404032.441860463,2098.8992248062013,388933,122,2332,15,51,101498745,11470
2020,2,A,골목상권,1000512,남부순환로33길,LH,상권확장,106,56,2261032216.0,53092,56,40375575.28571428,948.0714285714286,667116,179,3595,90,53,109943060,11470
2020,2,A,골목상권,1000511,곰달래로5길,HL,상권축소,126,49,4465880010.0,302802,87,51331954.137931034,3480.4827586206898,541398,211,3585,57,51,109779790,11470
2020,2,A,골목상권,1000510,곰달래로3길,LL,다이나믹,108,46,3758850248.0,184580,129,29138374.015503876,1430.8527131782946,818321,313,3808,55,53,114553308,11470
